FIPS,State,Year,Deaths,Population,CrudeRate
1,Alabama,2000,197,4447100,4.43
2,Alaska,2000,48,626932,7.66
4,Arizona,2000,522,5130632,10.17
5,Arkansas,2000,140,2673400,5.24
6,California,2000,1941,33871648,5.73
8,Colorado,2000,352,4301261,8.18
9,Connecticut,2000,320,3405565,9.4
10,Delaware,2000,55,783600,7.02
11,District of Columbia,2000,76,572059,13.29
12,Florida,2000,1159,15982378,7.25
13,Georgia,2000,364,8186453,4.45
15,Hawaii,2000,63,1211537,5.2
16,Idaho,2000,64,1293953,4.95
17,Illinois,2000,868,12419293,6.99
18,Indiana,2000,214,6080485,3.52
19,Iowa,2000,73,2926324,2.49
20,Kansas,2000,103,2688418,3.83
21,Kentucky,2000,241,4041769,5.96
22,Louisiana,2000,248,4468976,5.55
23,Maine,2000,61,1274923,4.78
24,Maryland,2000,623,5296486,11.76
25,Massachusetts,2000,463,6349097,7.29
26,Michigan,2000,561,9938444,5.64
27,Minnesota,2000,130,4919479,2.64
28,Mississippi,2000,114,2844658,4.01
29,Missouri,2000,303,5595211,5.42
30,Montana,2000,41,902195,4.54
31,Nebraska,2000,46,1711263,2.69
32,Nevada,2000,273,1998257,13.66
33,New Hampshire,2000,45,1235786,3.64
34,New Jersey,2000,643,8414350,7.64
35,New Mexico,2000,271,1819046,14.9
36,New York,2000,767,18976457,4.04
37,North Carolina,2000,491,8049313,6.1
38,North Dakota,2000,14,642200,2.18
39,Ohio,2000,563,11353140,4.96
40,Oklahoma,2000,237,3450654,6.87
41,Oregon,2000,208,3421399,6.08
42,Pennsylvania,2000,1147,12281054,9.34
44,Rhode Island,2000,74,1048319,7.06
45,South Carolina,2000,258,4012012,6.43
46,South Dakota,2000,20,754844,2.65
47,Tennessee,2000,397,5689283,6.98
48,Texas,2000,1021,20851820,4.9
49,Utah,2000,210,2233169,9.4
50,Vermont,2000,36,608827,5.91
51,Virginia,2000,411,7078515,5.81
53,Washington,2000,556,5894121,9.43
54,West Virginia,2000,113,1808344,6.25
55,Wisconsin,2000,248,5363675,4.62
56,Wyoming,2000,22,493782,4.46
,,2000,17415,281421906,6.19
1,Alabama,2001,216,4467634,4.83
2,Alaska,2001,62,633714,9.78
4,Arizona,2001,552,5273477,10.47
5,Arkansas,2001,126,2691571,4.68
6,California,2001,1226,34479458,3.56
8,Colorado,2001,411,4425687,9.29
9,Connecticut,2001,307,3432835,8.94
10,Delaware,2001,64,795699,8.04
11,District of Columbia,2001,93,574504,16.19
12,Florida,2001,1746,16356966,10.67
13,Georgia,2001,511,8377038,6.1
15,Hawaii,2001,77,1225948,6.28
16,Idaho,2001,98,1319962,7.42
17,Illinois,2001,892,12488445,7.14
18,Indiana,2001,283,6127760,4.62
19,Iowa,2001,87,2931997,2.97
20,Kansas,2001,138,2702162,5.11
21,Kentucky,2001,345,4068132,8.48
22,Louisiana,2001,265,4477875,5.92
23,Maine,2001,85,1285692,6.61
24,Maryland,2001,639,5374691,11.89
25,Massachusetts,2001,689,6397634,10.77
26,Michigan,2001,621,9991120,6.22
27,Minnesota,2001,185,4982796,3.71
28,Mississippi,2001,169,2852994,5.92
29,Missouri,2001,351,5641142,6.22
30,Montana,2001,56,906961,6.17
31,Nebraska,2001,66,1719836,3.84
32,Nevada,2001,261,2098399,12.44
33,New Hampshire,2001,79,1255517,6.29
34,New Jersey,2001,705,8492671,8.3
35,New Mexico,2001,258,1831690,14.09
