FIPS,state,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,United States,24.4,25.7,26.7,26.7,27.7,27.2,27,27.4,27.7,28,27.9,28.6,29.2,29.6,30.1
1,Alabama,19,20.2,22.7,22.7,22.3,21.4,21,21.5,22,22,21.9,22.5,23.4,23.5,23
2,Alaska,24.7,25.7,25.6,24,25.5,27.3,26.8,26.4,27.3,27.6,27.9,25.8,28.9,29.2,29.1
4,Arizona,23.5,24.4,26.3,26,28,25.6,25.5,25.4,25.1,26.1,25.9,26.4,27.5,27.5,27.4
5,Arkansas,16.7,18.6,18.3,17.4,18.8,18.9,18.6,19,18.8,19.1,19.5,20.4,21.2,20.6,21.4
6,California,26.6,29.1,27.9,29.8,31.7,29.5,29.1,29.4,29.6,30,30.1,30.3,31,31.1,31.7
8,Colorado,32.7,35.2,35.7,36,35.5,35.5,34.5,35.1,35.6,36.2,36.4,36.8,37.6,37.7,38
9,Connecticut,31.4,32.4,32.6,33.5,34.5,34.9,33.6,34.8,35.6,35.6,35.5,36.2,37.2,37.5,37.9
10,Delaware,25,28.6,29.5,28.1,26.9,27.6,28.1,26.8,27.5,27.5,27.8,28.2,30.2,29.6,30.3
11,District of Columbia,39.1,41.6,44.4,46.4,45.7,45.3,45.3,46.9,48.2,49.8,50.1,52.5,53.7,54.5,54.8
12,Florida,22.3,24.6,25.7,25.8,26,25.1,25.3,25.7,25.8,25.8,25.8,25.9,26.8,27.2,27.4
13,Georgia,24.3,24.2,25,25,27.6,27.1,26.4,26.9,27.5,27.4,27.3,27.6,28.3,28.4,29
15,Hawaii,26.2,27.9,26.8,27,26.6,27.9,29.5,29,29.1,29.3,29.5,29.7,30.1,31.4,31.6
16,Idaho,21.7,21.2,20.9,22.5,23.8,23.3,23.6,24.1,24,24.4,24.4,25.6,25.8,26.2,25.2
17,Illinois,26.1,26.7,27.3,28.1,27.4,29.2,28.8,29.5,29.9,30.5,30.8,31,31.5,32.3,33
18,Indiana,19.4,21.2,23.7,22.2,21.1,21.3,21.8,22.5,22.9,22.8,22.7,22.8,23.3,23.7,24.8
19,Iowa,21.2,23.9,23.1,24.6,24.3,23.8,24.3,24.2,24.3,25,24.9,25.8,26.8,26,27.9
20,Kansas,25.8,27.9,29.1,31,30,28.2,28.9,29.2,29.6,29.8,29.8,30.5,30.2,30.9,31.5
21,Kentucky,17.1,20.4,21.6,21.3,21,19.3,19.9,19.9,19.7,20.5,20.5,20.7,21.5,22.6,22.7
22,Louisiana,18.7,19.7,22.1,22.3,22.4,20.6,20,20.3,20.3,21.1,21.4,21.1,22.2,22.7,22.9
23,Maine,22.9,22.2,23.8,23.7,24.2,25.6,25.9,25.6,25.4,26.2,26.8,28.6,28,28,29.7
24,Maryland,31.4,35.7,37.6,37.2,35.2,34.5,35.3,35.3,35.2,35.6,36.1,37,37,37.3,38.2
25,Massachusetts,33.2,32.5,34.3,37.6,36.7,36.9,36.7,37.7,38.1,38.6,39,39.2,39.5,40.1,41.4
